ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
362,Emerging forward osmosis (FO) technologies and challenges ahead for clean,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2211339812000445,Ingenieria,"ChungT.-S,LiX,OngR.C,GeQ,WangH,Han","Emerging forward osmosis (FO) technologies and challenges ahead for clean water and clean energy applications. Current Opinion in Chemical Engineering, 1(3), 246–257.",2012
363,"An international, multi-site, longitudinal case study of the design of",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0142694X19300821,Ingenieria,"VentrellaJ,ZhangS,MacCarty","An international, multi-site, longitudinal case study of the design of a sensor-based system for monitoring impacts of clean energy technologies. Design Studies.",2020
364,Addressing key issues in technology innovation and transfer of clean,https://sci-hub.se/https://link.springer.com/article/10.1007/s10018-013-0059-5,Ingenieria,Suzuki,"Addressing key issues in technology innovation and transfer of clean energy technologies: a focus on enhancing the enabling environment in the developing countries. Environmental Economics and Policy Studies, 16(2), 157–169.",2013
365,"Addressing Climate Change with Clean Energy Technology. ACS Energy Letters,",https://sci-hub.se/https://pubs.acs.org/doi/full/10.1021/acsenergylett.6b00136,Ingenieria,OrrF.,"Addressing Climate Change with Clean Energy Technology. ACS Energy Letters, 1(1), 113–114.",2016
366,"Metal-organic frameworks as a platform for clean energy applications. EnergyChem,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2589778020300026,Ingenieria,"LiX,YangX,XueH,PangH,Xu","Metal-organic frameworks as a platform for clean energy applications. EnergyChem, 100027.",2020
367,“Breakthroughs” for a green economy? Financialization and clean energy transition.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2214629618303864,Ingenieria,Knuth,"“Breakthroughs” for a green economy? Financialization and clean energy transition. Energy Research & Social Science, 41, 220–229.",2018
368,Clean energy transition in Mexico: Policy recommendations for the deployment,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S136403212030695X,Ingenieria,DiezmartínezC.,"Clean energy transition in Mexico: Policy recommendations for the deployment of energy storage technologies. Renewable and Sustainable Energy Reviews, 135, 110407.",2021
369,"Recent progress in conjugated microporous polymers for clean energy: Synthesis,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0079670021000216,Ingenieria,"LuoS,ZengZ,WangH,XiongW,SongB,ZhouC,Xiao","Recent progress in conjugated microporous polymers for clean energy: Synthesis, modification, computer simulations, and applications. Progress in Polymer Science, 115, 101374.",2021
370,Intellectual property rights and transfer of clean energy technologies. International,https://sci-hub.se/https://www.inderscienceonline.com/doi/abs/10.1504/IJPLAP.2011.044993,Ingenieria,Zhuang,"Intellectual property rights and transfer of clean energy technologies. International Journal of Public Law and Policy, 1(4), 384.",2011
371,Navigating the Clean Energy Transition in the COVID-19 Crisis. Joule.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S254243512030180X,Ingenieria,"SteffenB,EgliF,PahleM,SchmidtT.",Navigating the Clean Energy Transition in the COVID-19 Crisis. Joule.,2020
372,Mobilizing citizens for a low and clean energy future. Current,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1877343513000377,Ingenieria,"DowdA.-M,Hobman","Mobilizing citizens for a low and clean energy future. Current Opinion in Environmental Sustainability, 5(2), 191–196.",2013
373,Is the success of clean energy guaranteed? Clean Technologies and,https://sci-hub.se/https://link.springer.com/article/10.1007/s10098-015-0969-y,Ingenieria,Duić,"Is the success of clean energy guaranteed? Clean Technologies and Environmental Policy, 17(8), 2093–2100.",2015
374,Waste-to-energy technologies in continuous process industries. Clean Technologies and Environmental,https://sci-hub.se/https://link.springer.com/article/10.1007/s10098-011-0385-x,Ingenieria,"VillarA,ArribasJ.J,Parrondo","Waste-to-energy technologies in continuous process industries. Clean Technologies and Environmental Policy, 14(1), 29–39.",2011
375,The impact of clean energy investments on the Greek economy:,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421513000748,Ingenieria,"MarkakiM,Belegri-RoboliA,MichaelidesP,MirasgedisS,LalasD.","The impact of clean energy investments on the Greek economy: An input–output analysis (2010–2020). Energy Policy, 57, 263–275.",2013
376,The constraints in managing a transition towards clean energy technologies,https://sci-hub.se/https://www.inderscienceonline.com/doi/abs/10.1504/IJTPM.2012.046922,Ingenieria,"ThiamD.R,MollH.","The constraints in managing a transition towards clean energy technologies in developing nations: reflections on energy governance and alternative policy options. International Journal of Technology, Policy and Management, 12(2/3), 115.",2012
377,Promoting clean energy technology entrepreneurship: The role of external context.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421516306504,Ingenieria,"MalenJ,MarcusA.","Promoting clean energy technology entrepreneurship: The role of external context. Energy Policy, 102, 7–15.",2017
378,Individualism and the adoption of clean energy technology. Resource and,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0928765519304063,Ingenieria,"AngJ.B,FredrikssonP.G,Sharma","Individualism and the adoption of clean energy technology. Resource and Energy Economics, 61, 101180.",2020
379,Putting renewables and energy efficiency to work: How many jobs,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421509007915,Ingenieria,"WeiM,PatadiaS,KammenD.","Putting renewables and energy efficiency to work: How many jobs can the clean energy industry generate in the US? Energy Policy, 38(2), 919–931.",2010
380,Low carbon and clean energy scenarios for India: Analysis of,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0140988312001028,Ingenieria,"ShuklaP.R,Chaturvedi","Low carbon and clean energy scenarios for India: Analysis of targets approach. Energy Economics, 34, S487–S495.",2012
381,"Photovoltaics advancements for transition from renewable to clean energy. Energy,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0360544221017588,Ingenieria,MitrašinovićA.,"Photovoltaics advancements for transition from renewable to clean energy. Energy, 237, 121510.",2021
382,The EU’s Clean Energy strategy for islands: A policy perspective,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S030142152030118X,Ingenieria,"KotzebueJ.R,Weissenbacher","The EU’s Clean Energy strategy for islands: A policy perspective on Malta’s spatial governance in energy transition. Energy Policy, 139, 111361.",2020
383,From appropriate technology to the clean energy economy: renewable energy,https://sci-hub.se/https://link.springer.com/article/10.1007/s13412-018-0471-z,Ingenieria,Mittlefehldt,"From appropriate technology to the clean energy economy: renewable energy and environmental politics since the 1970s. Journal of Environmental Studies and Sciences, 8(2), 212–219.",2018
384,Challenges in assessment of clean energy supply-chains based on byproduct,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0306261914000944,Ingenieria,"BustamanteM.L,Gaustad","Challenges in assessment of clean energy supply-chains based on byproduct minerals: A case study of tellurium use in thin film photovoltaics. Applied Energy, 123, 397–414.",2014
385,Clean energy storage technology in the making: An innovation systems,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652617310764,Ingenieria,"WickiS,HansenE.","Clean energy storage technology in the making: An innovation systems perspective on flywheel energy storage. Journal of Cleaner Production, 162, 1118–1134.",2017
386,Assessing the short- to medium-term supply risks of clean energy,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652619300757,Ingenieria,"ZhouY,LiJ,WANGG,CHENS,XINGW,LI",Assessing the short- to medium-term supply risks of clean energy minerals for China. Journal of Cleaner Production.,2019
387,Africa and the export of China’s clean energy revolution. Third,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/01436597.2016.1199262,Ingenieria,"ShenW,Power","Africa and the export of China’s clean energy revolution. Third World Quarterly, 38(3), 678–697.",2016
388,"Towards a framework of clean energy technology receptivity. Energy Policy,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S030142150800116X,Ingenieria,Thorne,"Towards a framework of clean energy technology receptivity. Energy Policy, 36(8), 2831–2838.",2008
389,"Clean Energy Grid-Connected Technology Based on Smart Grid. Energy Procedia,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S187661021101856X,Ingenieria,"PengL,Yan","Clean Energy Grid-Connected Technology Based on Smart Grid. Energy Procedia, 12, 213–218.",2011
390,A review of clean energy innovation and technology transfer in,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1364032112005928,Ingenieria,"LiuH,Liang","A review of clean energy innovation and technology transfer in China. Renewable and Sustainable Energy Reviews, 18, 486–498.",2013
391,Varieties of capitalism and clean energy transitions in the European,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/14693062.2015.1135778,Ingenieria,"ĆetkovićS,Buzogány","Varieties of capitalism and clean energy transitions in the European Union: When renewable energy hits different economic logics. Climate Policy, 16(5), 642–657.",2016
392,The governance of clean energy in India: The clean development,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421513002589,Ingenieria,"PhillipsJ,Newell","The governance of clean energy in India: The clean development mechanism (CDM) and domestic energy politics. Energy Policy, 59, 654–662.",2013
393,Towards sustainable production of clean energy carriers from biomass resources.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0306261912003601,Ingenieria,"SriranganK,AkawiL,Moo-YoungM,ChouC.","Towards sustainable production of clean energy carriers from biomass resources. Applied Energy, 100, 172–186.",2012
394,Prioritizing the existing power generation technologies in Bangladesh’s clean energy,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S095965262031948X,Ingenieria,"AliT,ChiuY.-R,AghalooK,NahianA.J,","Prioritizing the existing power generation technologies in Bangladesh’s clean energy scheme using a hybrid multi-criteria decision making model. Journal of Cleaner Production, 121901.",2020
395,Clean energy and water: assessment of Mexico for improved water,https://sci-hub.se/https://link.springer.com/article/10.1007/s10668-013-9441-5,Ingenieria,"SandersK.T,KingC.W,StillwellA.S,WebberM.","Clean energy and water: assessment of Mexico for improved water services and renewable energy. Environment, Development and Sustainability, 15(5), 1303–1321.",2013
396,Advances in Greener Energy Technologies. Green Energy and Technology.,https://sci-hub.se/https://link.springer.com/chapter/10.1007/978-981-15-4246-6_31,Ingenieria,"BhoiA.K,SherpaK.S,KalamA,ChaeG.-S.",Advances in Greener Energy Technologies. Green Energy and Technology.,2020
397,Is clean energy prosperity and technological innovation rapidly mitigating sustainable,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421521003906,Ingenieria,"AdewaleAlolaA,OzturkI,BekunF.","Is clean energy prosperity and technological innovation rapidly mitigating sustainable energy-development deficit in selected sub-Saharan Africa? A myth or reality. Energy Policy, 158, 112520.",2021
398,Electricity sector analysis in the clean energy futures study. Energy,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421501000738,Ingenieria,"HadleyS.W,Short","Electricity sector analysis in the clean energy futures study. Energy Policy, 29(14), 1285–1298.",2001
399,Green businesses in a clean energy economy: Analyzing drivers of,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0360544214001789,Ingenieria,Yi,"Green businesses in a clean energy economy: Analyzing drivers of green business growth in U.S. states. Energy, 68, 922–929.",2014
400,Vested interests as driver of the clean energy transition: Evidence,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421519304884,Ingenieria,"BouteA,Zhikharev","Vested interests as driver of the clean energy transition: Evidence from Russia’s solar energy policy. Energy Policy, 133, 110910.",2019
401,A review on clean energy solutions for better sustainability. International,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/er.3329,Ingenieria,"DincerI,Acar","A review on clean energy solutions for better sustainability. International Journal of Energy Research, 39(5), 585–606.",2015
402,Affordable Energy for Humanity: A Global Movement to Support Universal,https://sci-hub.se/https://ieeexplore.ieee.org/abstract/document/8738981/,Ingenieria,"NathwaniJ,KammenD.","Affordable Energy for Humanity: A Global Movement to Support Universal Clean Energy Access. Proceedings of the IEEE, 1–10.",2019
403,Hybrid clean energy technologies for power generation from sub-bituminous coals:,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/14786451.2011.631011,Ingenieria,BhattM.,"Hybrid clean energy technologies for power generation from sub-bituminous coals: a case of 250 MW unit. International Journal of Sustainable Energy, 33(1), 35–48.",2012
404,"Cleaner energy planning, management and technologies: Perspectives of supply-demand side",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652616310861,Ingenieria,"WanAlwiS.R,KlemešJ.J,VarbanovP.","Cleaner energy planning, management and technologies: Perspectives of supply-demand side and end-of-pipe management. Journal of Cleaner Production, 136, 1–13.",2016
405,"Cation-Deficient Perovskites for Clean Energy Conversion. Accounts of Materials Research,",https://sci-hub.se/https://pubs.acs.org/doi/abs/10.1021/accountsmr.1c00036,Ingenieria,"SuC,WangW,Shao","Cation-Deficient Perovskites for Clean Energy Conversion. Accounts of Materials Research, 2(7), 477–488.",2021
406,U.S. Federal Government Subsidies for clean energy: Design choices and,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0140988319300751,Ingenieria,"NewellR.G,PizerW.A,Raimi",U.S. Federal Government Subsidies for clean energy: Design choices and implications. Energy Economics.,2019
407,Willingness to pay and political support for a US national,https://sci-hub.se/https://www.nature.com/articles/nclimate1527,Ingenieria,"AldyJ.E,KotchenM.J,LeiserowitzA.","Willingness to pay and political support for a US national clean energy standard. Nature Climate Change, 2(8), 596–599.",2012
408,The justice and equity implications of the clean energy transition.,https://sci-hub.se/https://www.nature.com/articles/s41560-020-0641-6,Ingenieria,"CarleyS,KoniskyD.",The justice and equity implications of the clean energy transition. Nature Energy.,2020
409,Rare-Earth Metal Recovery for Green Technologies.,https://sci-hub.se/https://link.springer.com/chapter/10.1007/978-3-030-38106-6_1,Ingenieria,JyothiR.K.,Rare-Earth Metal Recovery for Green Technologies.,2020
410,Clean energy systems as mainstream energy options. International Journal of,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/er.3283,Ingenieria,LundP.,"Clean energy systems as mainstream energy options. International Journal of Energy Research, 40(1), 4–12.",2015
411,"Clean energy: Revisiting the challenges of industrial policy. Energy Economics,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0140988312002009,Ingenieria,"MorrisA.C,NivolaP.S,SchultzeC.","Clean energy: Revisiting the challenges of industrial policy. Energy Economics, 34, S34–S42.",2012
412,The Promise and Pitfalls of Venture Capital as an Asset,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/1086026612474956,Ingenieria,"MarcusA,MalenJ,Ellis","The Promise and Pitfalls of Venture Capital as an Asset Class for Clean Energy Investment. Organization & Environment, 26(1), 31–60.",2013
413,Advances in Clean Energy Technologies. Springer Proceedings in Energy.,https://sci-hub.se/https://link.springer.com/book/10.1007/978-981-16-0235-1,Ingenieria,"BaredarP.V,TangellapalliS,SolankiC.S.",Advances in Clean Energy Technologies. Springer Proceedings in Energy.,2021
414,The Potential Role of Reactive Metals for a Clean Energy,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.202001002,Ingenieria,"BaumannM,BarelliL,Passerini","The Potential Role of Reactive Metals for a Clean Energy Transition. Advanced Energy Materials, 10(27), 2001002.",2020
415,Perspective on multi-scale assets for clean energy technologies in buildings.,https://sci-hub.se/https://link.springer.com/article/10.1007/s10669-013-9475-0,Ingenieria,Sklar,"Perspective on multi-scale assets for clean energy technologies in buildings. Environment Systems and Decisions, 34(2), 323–325.",2013
416,"Clean Energy. Nanoparticle Technologies - From Lab to Market, 279–383.",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/B9780123695505000057,Ingenieria,Bensebaa,"Clean Energy. Nanoparticle Technologies - From Lab to Market, 279–383.",2013
417,Demonstration buildings as protected spaces for clean energy solutions –,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652615004655,Ingenieria,"HeiskanenE,NissiläH,Lovio","Demonstration buildings as protected spaces for clean energy solutions – the case of solar building integration in Finland. Journal of Cleaner Production, 109, 347–356.",2015
418,Economic Challenges in the Clean Energy Supply Chain: The Market,https://sci-hub.se/https://link.springer.com/article/10.1057/be.2011.17,Ingenieria,HenselN.,"Economic Challenges in the Clean Energy Supply Chain: The Market for Rare Earth Minerals and Other Critical Inputs. Business Economics, 46(3), 171–184.",2011
419,Unconventional gas research initiative for clean energy transition in Europe.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1875510011000382,Ingenieria,"WeijermarsR,DrijkoningenG,HeimovaaraT.J,RudolphE.S.J,WeltjeG.J,WolfK.H.A.","Unconventional gas research initiative for clean energy transition in Europe. Journal of Natural Gas Science and Engineering, 3(2), 402–412.",2011
420,"Clean energies development in built environment. World Journal of Science,",https://sci-hub.se/https://www.emerald.com/insight/content/doi/10.1108/20425941211223624/full/html,Ingenieria,MustafaOmer,"Clean energies development in built environment. World Journal of Science, Technology and Sustainable Development, 9(1), 45–63.",2012
421,"Bird Killer, Industrial Intruder or Clean Energy? Perceiving Risks to",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0921800916313854,Ingenieria,"KlainS.C,SatterfieldT,SinnerJ,EllisJ.I,ChanK.M.","Bird Killer, Industrial Intruder or Clean Energy? Perceiving Risks to Ecosystem Services Due to an Offshore Wind Farm. Ecological Economics, 143, 111–129.",2018
422,Policy Monitor * A Preliminary Assessment of the American Recovery,https://sci-hub.se/https://www.journals.uchicago.edu/doi/full/10.1093/reep/res014,Ingenieria,AldyJ.,"Policy Monitor * A Preliminary Assessment of the American Recovery and Reinvestment Act’s Clean Energy Package. Review of Environmental Economics and Policy, 7(1), 136–155.",2013
423,"Stock prices of clean energy firms, oil and carbon markets:",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0140988311000703,Ingenieria,"KumarS,ManagiS,Matsuda","Stock prices of clean energy firms, oil and carbon markets: A vector autoregressive analysis. Energy Economics, 34(1), 215–226.",2012
424,Toward a clean energy economy: With discussion on role of,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0360319912004284,Ingenieria,"LeeD.-H,Hung","Toward a clean energy economy: With discussion on role of hydrogen sectors. International Journal of Hydrogen Energy, 37(20), 15753–15765.",2012
425,Research and development of international clean energy network using hydrogen,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0360319901000891,Ingenieria,Hijikata,"Research and development of international clean energy network using hydrogen energy (WE-NET). International Journal of Hydrogen Energy, 27(2), 115–129.",2002
426,Clean energy new deal for a sustainable world: from non-CO2,https://sci-hub.se/https://pubs.rsc.org/en/content/articlehtml/2011/ee/c0ee00731e,Ingenieria,"PoizotP,Dolhem","Clean energy new deal for a sustainable world: from non-CO2 generating energy sources to greener electrochemical storage devices. Energy & Environmental Science, 4(6), 2003.",2011
427,"Global clean energy in 2017. Science, 355(6321), 111–111.",https://sci-hub.se/https://www.science.org/doi/abs/10.1126/science.aam7088,Ingenieria,King,"Global clean energy in 2017. Science, 355(6321), 111–111.",2017
428,Linking scientific research and energy innovation: A comparison of clean,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2214629621002152,Ingenieria,"PerronsR.K,JaffeA.B,Le","Linking scientific research and energy innovation: A comparison of clean and dirty technologies. Energy Research & Social Science, 78, 102122.",2021
429,Accelerating the discovery of materials for clean energy in the,https://sci-hub.se/https://www.nature.com/articles/s41578-018-0005-z,Ingenieria,"TaborD.P,RochL.M,SaikinS.K,KreisbeckC,SheberlaD,MontoyaJ.H,Aspuru-Guzik","Accelerating the discovery of materials for clean energy in the era of smart automation. Nature Reviews Materials, 3(5), 5–20.",2018
430,"Key challenges and recent progress in batteries, fuel cells, and",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0378775306006240,Ingenieria,"ChalkS.G,MillerJ.","Key challenges and recent progress in batteries, fuel cells, and hydrogen storage for clean energy systems. Journal of Power Sources, 159(1), 73–80.",2006
431,How government subsidies promote the growth of entrepreneurial companies in,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S095965261830787X,Ingenieria,"PengH,Liu","How government subsidies promote the growth of entrepreneurial companies in clean energy industry: An empirical study in China. Journal of Cleaner Production, 188, 508–520.",2018
432,A step to clean energy - Sustainability in energy system,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652619333323,Ingenieria,"ManglaS.K,LuthraS,JakharS,GandhiS,MuduliK,Kumar","A step to clean energy - Sustainability in energy system management in an emerging economy context. Journal of Cleaner Production, 118462.",2019
433,Assessing application potential of clean energy supply for greenhouse gas,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652614003059,Ingenieria,"ZhaiQ,CaoH,ZhaoX,Yuan","Assessing application potential of clean energy supply for greenhouse gas emission mitigation: a case study on General Motors global manufacturing. Journal of Cleaner Production, 75, 11–19.",2014
434,Does the price of oil interact with clean energy prices,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S092214251300011X,Ingenieria,"ManagiS,Okimoto","Does the price of oil interact with clean energy prices in the stock market? Japan and the World Economy, 27, 1–9.",2013
435,Gas storage in porous metal–organic frameworks for clean energy applications.,https://sci-hub.se/https://pubs.rsc.org/en/content/articlehtml/2010/cc/b916295j,Ingenieria,"MaS,Zhou","Gas storage in porous metal–organic frameworks for clean energy applications. Chem. Commun., 46(1), 44–53.",2010
436,"Hydrogen: A clean energy source. International Journal of Hydrogen Energy,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/0360319986901217,Ingenieria,PERALDOBICELLI,"Hydrogen: A clean energy source. International Journal of Hydrogen Energy, 11(9), 555–562.",1986
437,"Sustainability Assessment for Energy Technologies. Handbook of Clean Energy Systems,",https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118991978.hces070,Ingenieria,"HirschbergS,Burgherr","Sustainability Assessment for Energy Technologies. Handbook of Clean Energy Systems, 1–22.",2015
438,Metal–organic frameworks as platforms for clean energy. Energy & Environmental,https://sci-hub.se/https://pubs.rsc.org/en/content/articlehtml/2021/xx/c3ee40507a,Ingenieria,"LiS.-L,Xu","Metal–organic frameworks as platforms for clean energy. Energy & Environmental Science, 6(6), 1656.",2013
439,Correlations and volatility spillovers between oil prices and the stock,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0140988311000740,Ingenieria,Sadorsky,"Correlations and volatility spillovers between oil prices and the stock prices of clean energy and technology companies. Energy Economics, 34(1), 248–255.",2012
440,Clean energy investing in public capital markets: Portfolio benefits of,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421518304154,Ingenieria,"LaMonacaS,AsseretoM,Byrne","Clean energy investing in public capital markets: Portfolio benefits of yieldcos. Energy Policy, 121, 383–393.",2018
441,The impacts of R&D investment and stock markets on clean‐energy,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/ijfe.2049,Ingenieria,"AlamM.S,ApergisN,ParamatiS.R,Fang","The impacts of R&D investment and stock markets on clean‐energy consumption and CO 2 emissions in OECD economies. International Journal of Finance & Economics, 26(4), 4979–4992.",2020
442,"THE CLEAN ENERGY R&D STRATEGY FOR 2°C. Climate Change Economics,",https://sci-hub.se/https://www.worldscientific.com/doi/abs/10.1142/S201000781440003X,Ingenieria,"MARANGONIG,TAVONI","THE CLEAN ENERGY R&D STRATEGY FOR 2°C. Climate Change Economics, 05(01), 1440003.",2014
443,China as a Global Clean Energy Champion.,https://sci-hub.se/https://link.springer.com/content/pdf/10.1007/978-981-13-3492-4.pdf,Ingenieria,"Andrews-SpeedP,Zhang",China as a Global Clean Energy Champion.,2019
444,"Clean Technologies and Innovation in Energy. Energy in Africa, 149–197.",https://sci-hub.se/https://link.springer.com/chapter/10.1007/978-3-319-91301-8_7,Ingenieria,"SomorinT,SowaleA,ShemfeM,AyodeleA.S,Kolios","Clean Technologies and Innovation in Energy. Energy in Africa, 149–197.",2018
445,Clean energy that safeguards ecosystems and livelihoods: Integrated assessments to,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960148112000845,Ingenieria,"AthanasA.K,McCormick","Clean energy that safeguards ecosystems and livelihoods: Integrated assessments to unleash full sustainable potential for renewable energy. Renewable Energy, 49, 25–28.",2013
446,Clean energy policies and green jobs: An evaluation of green,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421513000414,Ingenieria,Yi,"Clean energy policies and green jobs: An evaluation of green jobs in U.S. metropolitan areas. Energy Policy, 56, 644–652.",2013
447,Clean energy and transport pathways for islands: A stakeholder analysis,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1361920919308922,Ingenieria,"KougiasI,NikitasA,ThielC,Szabó","Clean energy and transport pathways for islands: A stakeholder analysis using Q method. Transportation Research Part D: Transport and Environment, 78, 102180.",2020
448,"Coal, oil, or clean energy: Which contributes most to the",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0957178715300035,Ingenieria,"XieW,ShengP,Guo","Coal, oil, or clean energy: Which contributes most to the low energy efficiency in China? Utilities Policy, 35, 67–71.",2015
449,"Cleaner energy for cleaner production: modelling, simulation, optimisation and waste",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652615015334,Ingenieria,"YongJ.Y,KlemešJ.J,VarbanovP.S,Huisingh","Cleaner energy for cleaner production: modelling, simulation, optimisation and waste management. Journal of Cleaner Production, 111, 1–16.",2016
450,Clean energy financing at Asian Development Bank. Energy for Sustainable,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0973082611000275,Ingenieria,DelinaL.,"Clean energy financing at Asian Development Bank. Energy for Sustainable Development, 15(2), 195–199.",2011
451,Clean energy generation using capacitive electrodes in reverse electrodialysis. Energy,https://sci-hub.se/https://pubs.rsc.org/en/content/articlehtml/2012/ee/c2ee23562e,Ingenieria,"VermaasD.A,BajracharyaS,SalesB.B,SaakesM,HamelersB,Nijmeijer","Clean energy generation using capacitive electrodes in reverse electrodialysis. Energy Environ. Sci., 6(2), 643–651.",2013
452,Inter-sector network and clean energy innovation: Evidence from the wind,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0959652620313342,Ingenieria,"ZhangF,TangT,SuJ,Huang","Inter-sector network and clean energy innovation: Evidence from the wind power sector. Journal of Cleaner Production, 263, 121287.",2020
453,Design Principles for Covalent Organic Frameworks as Efficient Electrocatalysts in,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201606635,Ingenieria,"LinC.-Y,ZhangL,ZhaoZ,Xia","Design Principles for Covalent Organic Frameworks as Efficient Electrocatalysts in Clean Energy Conversion and Green Oxidizer Production. Advanced Materials, 29(17), 1606635.",2017
454,"The contribution of foreign direct investment to clean energy use,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0301421512010920,Ingenieria,LeeJ.,"The contribution of foreign direct investment to clean energy use, carbon emissions and economic growth. Energy Policy, 55, 483–489.",2013
455,Whatever Happened to Green Collar Jobs? Populism and Clean Energy,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/24694452.2018.1523001,Ingenieria,Knuth,"Whatever Happened to Green Collar Jobs? Populism and Clean Energy Transition. Annals of the American Association of Geographers, 109(2), 634–643.",2019
456,Single‐Atom catalysts: Engineering Local Coordination Environments of Atomically Dispersed and,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.202070051,Ingenieria,"ZhuY,SokolowskiJ,SongX,HeY,MeiY,Wu","Single‐Atom catalysts: Engineering Local Coordination Environments of Atomically Dispersed and Heteroatom‐Coordinated Single Metal Site Electrocatalysts for Clean Energy‐Conversion (Adv. Energy Mater. 11/2020). Advanced Energy Materials, 10(11), 2070051.",2020
457,Clean energy transitions and human well-being outcomes in Lower and,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1364032121003518,Ingenieria,"LiaoC,ErbaughJ.T,KellyA.C,Agrawal","Clean energy transitions and human well-being outcomes in Lower and Middle Income Countries: A systematic review. Renewable and Sustainable Energy Reviews, 145, 111063.",2021
458,"A contribution of foreign direct investment, clean energy, trade openness,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0264999313004070,Ingenieria,"SbiaR,ShahbazM,Hamdi","A contribution of foreign direct investment, clean energy, trade openness, carbon emissions and economic growth to energy demand in UAE. Economic Modelling, 36, 191–197.",2014
